Para 84: LeftIndent=None, LeadingSpaces=0, Text=እጄ አመድ አፋሽ ነው ሞት ያማኛል አሉ
Para 85: LeftIndent=None, LeadingSpaces=0, Text=ጨርሼ ሰጥቼው ዘመዶቼን ሁሉ ወገኖቼን ሁሉ
Para 86: LeftIndent=None, LeadingSpaces=0, Text=ሞት እንዴት ሰነበትክ እንዴት ሰንብተሃል
Para 87: LeftIndent=None, LeadingSpaces=0, Text=እግዚአብሔር ይመስገን ወዴት ታውቀኛለህ
Para 88: LeftIndent=None, LeadingSpaces=0, Text=ለምን አላውቅህም አውቅሃልሁ እንጂ
Para 89: LeftIndent=None, LeadingSpaces=0, Text=የእናቴን የአባቴን ስትዘጋ ደጅ።
Para 90: LeftIndent=None, LeadingSpaces=0, Text=አንተ ሁልጊዜ እንግዳ ሰው አጥፊ ነህ እንጂ/፪/ 
Para 91: LeftIndent=None, LeadingSpaces=0, Text=ሞት ተመላለሰ መንገዱ አደረገኝ።
Para 92: LeftIndent=None, LeadingSpaces=0, Text=ዳግመኛም ቢመጣ ካለ እኔም አያገኝ።
Para 93: LeftIndent=None, LeadingSpaces=0, Text=
Para 94: LeftIndent=None, LeadingSpaces=0, Text=ደምሴመልካምቤተልሔም
Para 95: LeftIndent=None, LeadingSpaces=0, Text=መልካም ቤተልሔም/፪/መልካም ደጀ ሰላም
Para 96: LeftIndent=None, LeadingSpaces=0, Text=እኔ አምላክን ብሆን በጉልበቴ አልኮራም
Para 97: LeftIndent=None, LeadingSpaces=0, Text=ላላሰነብተው ላፈርሰው አልሠራም።
Para 98: LeftIndent=None, LeadingSpaces=0, Text=አሸዋው ሲሚንቶው/፪/ ኖራው ተዋሕዶ
Para 99: LeftIndent=None, LeadingSpaces=0, Text=አጠበቀው ቤቱን እንዳይፈርስ ተንዶ
