Para 128: Indent=0, Text='ሲጨንቀኝ ሲጠበኝ ሲከፋኝ ኑሮዬ'
Para 129: Indent=0, Text='ድንግል አንቺ እኮ ነሽ አጽናኝ አለኝታዬ'
Para 130: Indent=0, Text='        ስምሽን ስጠራ ሲታወክ ህይወቴ '
Para 131: Indent=0, Text='        አለሁልህ/ሽ በይኝ ድንግል እመቤቴ'
Para 132: Indent=0, Text='ድንግል ሆይ አትርሺኝ የዘላለም ልብሴ'
Para 133: Indent=0, Text='ምልጃሽ ያውጣኝ ከሞት ከከፋ ድምሳሴ'
Para 134: Indent=0, Text='        የቅዱሳን ካባ የቅዱሳን ኩታ'
Para 135: Indent=0, Text='        ጸጋ ሰማዕታት የድሆች አለኝታ'
Para 136: Indent=0, Text='ሹመተ መሳፍንት ቅብዐ ነገሥታት'
Para 137: Indent=0, Text='የሰሎሞን ዕውቀት የዳዊት መዝሙራት '
Para 138: Indent=0, Text='        ዓለም የዳነብሽ ከሞት ከሲኦል'
Para 139: Indent=0, Text='        ለእኔስ እናቴ ነሽ ማርያም ድንግል'
Para 140: Indent=0, Text='አድኚኝ እናቴ ከሥጋ ፈተና'
Para 141: Indent=0, Text='እኔማ ያለአንቺ አልችልም ልጸና '
Para 142: Indent=0, Text='        ሸክም የከበደኝ እንግልት ሆኛለሁ'
Para 143: Indent=0, Text='        ከእኔ እንዳትለይ አደራ እልሻለሁ'
Para 144: Indent=0, Text='አደራ እልሻለሁ ከጎኔ አትራቂ'
Para 145: Indent=0, Text='ወዳጅ ዘመድ የለኝ ያለአንቺ ጠባቂ '
Para 146: Indent=0, Text='       ተሳክቶልኝ ባየው ሀሳቤ ምኞቴ '
Para 147: Indent=0, Text='       ድንግል ያላንቺማ መች ይፀናል ቤቴ'
Para 148: Indent=0, Text='ልጅሽ እንዳይነሳኝ መንግሥተ ሰማያት'
Para 149: Indent=0, Text='ከኃጢአት ጠብቆ እንዲያኖረኝ ገነት'
Para 150: Indent=0, Text='አንቺ ንገሪልኝ ለዓለም መድኃኒት'
Para 151: Indent=0, Text='ተስፋዬ ነሽና አትርሺኝ የኔ እናት'
Para 152: Indent=0, Text=''
Para 153: Indent=0, Text=''
Para 154: Indent=0, Text=''
Para 155: Indent=0, Text='ርግብና ዋኔን (አቶ ታፈሰ)'
Para 156: Indent=0, Text='ቅኝት- ዋኔን (ትዝታ) '
Para 157: Indent=0, Text='4444  55-3  115  42'
Para 158: Indent=0, Text='44452-5-3  115  42'
Para 159: Indent=0, Text='33  11  33  42-3-1  42'
Para 160: Indent=0, Text='33  11  33  42-2  42'
Para 161: Indent=0, Text=''
Para 162: Indent=0, Text='ርግብና ዋኔን  ዋኔን አብረው ዘመቱና ዋኔን'
Para 163: Indent=0, Text='ርግብ ደህና ገባች  ዋኔን  ዋኔን ገደሉና  ዋኔን'
Para 164: Indent=0, Text='      እስቲ በስመአብ ብዬ ዋኔን ልቀኝ ለእመቤቴ ዋኔን'
Para 165: Indent=0, Text='      ማርያም በመሆኗ ዋኔን ክብሬና ህይወቴ ዋኔን'
Para 166: Indent=0, Text='ሰላም እልሻለሁ ዋኔን ጽላተ ጽዮን ዋኔን'
Para 167: Indent=0, Text='ደጅ እጠናሻለሁ ዋኔን አምኜ አንቺን ዋኔን'
Para 168: Indent=0, Text='      አዛኝቷ እመቤት ዋኔን ኪዳነ ምህረት ዋኔን'
Para 169: Indent=0, Text='      አለሁልህ/ሽ/ ብለሽ ዋኔን  አውጪኝ ከመአት ዋኔን'
Para 170: Indent=0, Text='እስቲ ሁላችሁም ዋኔን ኪዳነ ምህረት በሉ ዋኔን'
Para 171: Indent=0, Text='መድኃኒት ናትና ዋኔን ለሰው ልጆች ሁሉ ዋኔን'
Para 172: Indent=0, Text='      ሁሌ እጠራሻለሁ ዋኔን በቃል ኪዳንሽ ዋኔን'
Para 173: Indent=0, Text='      የምህረት አማላጅ ዋኔን  ድንግል አንቺ ነሽ ዋኔን'
Para 174: Indent=0, Text='የዓለም ፈርጥ አንቺ ነሽ ዋኔን ማርያም እመቤቴ ዋኔን'
Para 175: Indent=0, Text='እመካብሻለሁ ዋኔን እስከ ጊዜ ሞቴ ዋኔን'
Para 176: Indent=0, Text='     ያንን የእሳት ባህር ዋኔን አሻግሪኝ ድንግል ዋኔን'
Para 177: Indent=0, Text='     እንዳወድቅ አደራ ዋኔን ከሲኦል ገደል ዋኔን'
Para 178: Indent=0, Text='የነቢያት ትንቢት ዋኔን የሰማዕታት አክሊል ዋኔን'
Para 179: Indent=0, Text='ያላንቺ ማን አለኝ ዋኔን እመቤቴ ድንግል ዋኔን'
Para 180: Indent=0, Text='      በአማላጅነትሽ ዋኔን እንኮራለን እኛ ዋኔን'
Para 181: Indent=0, Text='      የጽድቅ መሰላል ነሽ ዋኔን የተሰጠሽ ለኛ ዋኔን'
Para 182: Indent=0, Text='ያዕቆብ በህልሙ ዋኔን ያያት መሰላል ዋኔን'
Para 183: Indent=0, Text='የዓለም አስታራቂ ዋኔን አንቺ ነሽ ድንግል ዋኔን'
Para 184: Indent=0, Text='     ታማልደናለች ዋኔን እጆቿን ዘርግታ ዋኔን'
Para 185: Indent=0, Text='     ከቶ እረፍት የላትም ዋኔን ከጧት እስከ ማታ ዋኔን'
Para 186: Indent=0, Text='ኪዳነ ምህረት ነሽ ዋኔን አንቺ የኛ ተስፋ ዋኔን'
Para 187: Indent=0, Text='መርቆ የሰጠን ዋኔን ኦሜጋና አልፋ ዋኔን'
Para 188: Indent=0, Text='      የዓለም ሁሉ መቅረዝ ዋኔን መንበረ ሥላሴ ዋኔን'
Para 189: Indent=0, Text='      መድኃኒቴ እሷ ነች ዋኔን ለሥጋም ለነፍሴ ዋኔን'
Para 190: Indent=0, Text='      ሁሌ ላመስግናት ዋኔን ተፈታ ምላሴ ዋኔን'
Para 191: Indent=0, Text='የምህረት ቃል ኪዳን ዋኔን የሰው ልጅ መዳኛ ዋኔን'
Para 192: Indent=0, Text='እንድታማልደን ዋኔን የተሰጠች ለኛ ዋኔን'
Para 193: Indent=0, Text='       ምላሴ ተናገር ዋኔን የማርያምን ዝና ዋኔን'
Para 194: Indent=0, Text='       ለኛ መሰጠቷን ዋኔን ሳትፈጠር ገና ዋኔን'
Para 195: Indent=0, Text='ታስባ ስትኖር ዋኔን በእግዚአብሔር ሕሊና ዋኔን'
Para 196: Indent=0, Text='ተወልዳ አደገች ዋኔን ጊዜው ደረሰና ዋኔን'
Para 197: Indent=0, Text='      ዘመን የማይሽረው ዋኔን ስላላት ቃል ኪዳን ዋኔን'
Para 198: Indent=0, Text='      ታማልደናለች ዋኔን መድኃኒት በመሆን ዋኔን'
Para 199: Indent=0, Text='ምን ቃላት ይገኛል ዋኔን እርሷን ማመስገኛ ዋኔን'
Para 200: Indent=0, Text='እነ ሕርያቆስ ዋኔን ያልቻሉት እነኛ ዋኔን'
Para 201: Indent=0, Text='       ከዓይኗ እያዘነበች ዋኔን የእንባዋን ዘለላ ዋኔን'
Para 202: Indent=0, Text='       ወደ ግብፅ በረረች ዋኔን አንድ ልጇን አዝላ ዋኔን'
Para 203: Indent=0, Text='ፅጌ ፀዐዳ ነች ዋኔን እመቤቴ ድንግል ዋኔን'
Para 204: Indent=0, Text='ድረሺልን ሲሏት ዋኔን ከተፍ ነው የምትል ዋኔን'
Para 205: Indent=0, Text='       የፃድቃን እመቤት ዋኔን የኃጥኣን ተስፋ ዋኔን'
